ToolId,Category,ScriptPath,EnglishName,ArabicName,Purpose,RiskLevel,RequiresAdmin,RequiresRestart,OfflineCapability,BackupMethod,RollbackMethod,AnalyzeOnlySupported,WhatIfSupported,TestResult
SM01,01-System-Maintenance,01-System-Maintenance/SM01-VerifySystemFiles.ps1,"Verify System Files","التحقق من ملفات النظام","Runs sfc /verifyonly: checks protected system files for corruption WITHOUT repairing. Run SM02 to repair any violations found. Evidence: captures native exit code, raw output, and relevant CBS.log entries. Does not claim ""no violations"" from exit code alone - uses Inconclusive when CBS evidence unavailable.",SYSTEM_REPAIR,true,false,FULL,"None (read-only scan)","None required",true,true,PASS
SM02,01-System-Maintenance,01-System-Maintenance/SM02-RepairSystemFiles.ps1,"Repair System Files","إصلاح ملفات النظام","Runs sfc /scannow: verifies and repairs protected system files. Evidence: captures native exit code, raw output, CBS.log entries, and post-repair verify-only. Does not claim ""repaired"" from exit code alone - uses Inconclusive when CBS evidence unavailable.",SYSTEM_REPAIR,true,false,FULL,"None (sfc /scannow verifies internally)","Rerun SM02; files restored by sfc",true,true,PASS
SM03,01-System-Maintenance,01-System-Maintenance/SM03-CheckComponentStore.ps1,"Check Component Store","فحص مخزن المكونات","Runs DISM /Online /Cleanup-Image /CheckHealth: a fast check that reports whether corruption was flagged by a prior scan. It does not scan deeply and does not modify anything.",READ_ONLY,true,false,FULL,"None (read-only check)","None required",true,true,PASS
SM04,01-System-Maintenance,01-System-Maintenance/SM04-ScanSystemImage.ps1,"Scan System Image","فحص صورة النظام","Runs DISM /Online /Cleanup-Image /ScanHealth: a full read-only scan of the component store. Does not repair.",READ_ONLY,true,false,FULL,"None (read-only scan)","None required",true,true,PASS
SM05,01-System-Maintenance,01-System-Maintenance/SM05-RepairSystemImage.ps1,"Repair System Image","إصلاح صورة النظام","Runs DISM /Online /Cleanup-Image /RestoreHealth. Supports local source (install.wim / install.esd) with proper index detection. Runs CheckHealth and ScanHealth first. Runs post-repair ScanHealth. Returns Inconclusive when result cannot be proven.",SYSTEM_REPAIR,true,false,PARTIAL,"None (DISM restores from source)","Rerun SM05 with local source",true,true,PASS
SM06,01-System-Maintenance,01-System-Maintenance/SM06-CheckDiskOnline.ps1,"Check Disk Online","فحص القرص عبر الإنترنت","Runs chkdsk /scan on the system drive: online read-only scan. Use SM07 to schedule a full repair at the next boot.",READ_ONLY,true,false,FULL,"None (read-only scan)","None required",true,true,PASS
SM07,01-System-Maintenance,01-System-Maintenance/SM07-ScheduleDiskCheck.ps1,"Schedule Disk Check","جدولة فحص القرص","Marks the system volume dirty so autochk runs a full chkdsk (/f /r) at the next boot, then verifies the volume is dirty.",REBOOT_REQUIRED,true,true,FULL,"None (volume marked dirty)","Run chkdsk /f /r; use fsutil dirty query",true,true,PASS
SM08,01-System-Maintenance,01-System-Maintenance/SM08-AnalyzeComponentStore.ps1,"Analyze Component Store","تحليل مخزن المكونات","Runs DISM /Online /Cleanup-Image /AnalyzeComponentStore to report WinSxS component store size and whether cleanup is recommended.",READ_ONLY,true,false,FULL,"None (read-only analysis)","None required",true,true,PASS
SM09,01-System-Maintenance,01-System-Maintenance/SM09-ResetWindowsUpdate.ps1,"Reset Windows Update","إعادة تعيين تحديث ويندوز","Safe Windows Update repair: records the start mode and running state of the WU services, stops them, renames (never deletes) the SoftwareDistribution DataStore + Download folders, then restores each service to its original start mode and running state. Valid statuses: Success, Warning, Failed, Cancelled, Skipped, Inconclusive.",DESTRUCTIVE,true,false,FULL,"Renamed folders (SoftwareDistribution DataStore + Download) in-place","Rename folders back; original service start types re-applied and verified",true,true,PASS
SM10,01-System-Maintenance,01-System-Maintenance/SM10-SystemMaintenanceReport.ps1,"System Maintenance Report","تقرير صيانة النظام","Aggregates maintenance-relevant facts: OS/build, uptime, free space, last SFC/CBS activity, and component store size.",READ_ONLY,false,false,FULL,"None (report only)","None required",true,false,PASS
